Kokeshi Doll,"Tohuko Region, Japan", Edo Period,Asia
Bontoc Axe,Highlands of Luzon,Early 20th Century,Africa
The Mausoleum at Halicarnassus,"Bodrum, Turkey",Classical Greek,Asia-Europe
Isis Figure,Ancient Mediterranean,Late Dynastic Period,Europe
The Rosetta Stone,"Rashid, Egypt ",Ptolemaic Period,Africa
Bust of Queen Nefertiti,"Amarna, Egypt", 18th Dynasty of Egypt,Africa
Initiation Mask,Democratic Republic of the Condo,16th Century,Africa
Zuni Fetish,"Zuni Pueblo, New Mexico ",Last Millenium B.C.,North America 
40-Pound Ball Shot,"Fort Sumter, South Carolina",Civil War ,North America 
"Figure of Ehecatl, the wind god"," Atzcapotzalco, Mexico City", Archaeological Culture,South America
Buddha Sheltered by Naga,Cambodia,Angkor Period,Africa
Horse Collar owned by Morton Lyles,"Lyles Station, Indiana",19th Century,North America 
Money Box used by Bishop Richard Allen," Philadelphia, Pennsylvania",Early 19th Century,North America 
"Thermometer, Dr. John Jeffries","English Channel, United Kingdom",18th Century,Europe
The Burghers of Calais,"Calais, France",19th Century,Europe
Dharmapala Yamaraja and Chamunda,China,Qing Dynasty,Asia
Shakyamuni Buddha in Jowo Rinpoche Form,"Tibet, China",Late 16th Century,Asia
Shalu Lama Rinchen Khyenrab Chokdrub Palzangpo,"Tibet, China",Late 16th Century,Asia
" The Bodhisattva, seated in ""Pensive Pose""",China,Northern Qi Dynasty,Asia
Queen as the Goddess Prajnaparamita,"Nepal, Asia",Malla Dynasty,Asia
Style III Bowl From Mitchell ,"Grants County, New Mexico",Archaic Period,North America 
Style III Bowl From Swarts,"Grants County, New Mexico",Early 10th Century ,North America 
Altar to the Hand (Ikegobo),"Nigeria, Court of Benin",19th Century,Africa
Altar Ring,"Nigeria, Court of Benin",17th - 19th Century,Africa
Monkey Vessel,Peru,1st Century B.C. - A.D. 7th Century,South America
 Decorated Ware Jar Depicting Ungulates and Boats  with Human Figures ,Egypt,Predynastic,Africa
Poppy Fields near Argenteuil,"Paris, France",Late 19th Century,Europe
The Royal Acquaintances Memi and Sabu,"Memphis, Egypt",Old Kingdom,Africa
Bronze Plaque of Mithras slaying the bull,Rome,Mid-Imperial,Europe
Terracotta column-krater (bowl for mixing wine and water),"Athens, Greece", Archaic,Europe
Coffin of Khnumnakht,"Meir, Egypt",Middle Kingdom,Africa
Terracotta female figurine,"Athens, Greece ",Mycenaean Culture ,Europe
The Peplos Kore,"Paros, Greece",Archaic Period,Europe
The Antenor Kore,"Paros, Greece",Archaic Period,Europe
The Euthydikos Kore,"Paros, Greece",Archaic Period,Europe
The Granite Sphinx of Ramses II,"Memphis, Egypt",Pharaonic Period,Africa
Queen Puabi's Headdress,"Dhi Qar Governorate, Iraq",First Dynasty of Ur,Asia
The Hasanlu Lovers ,"Teppe Hasanlu, Iraq",Period IVB,Asia
Stela 14,"Piedras Negras, Guatemala",Late Classic Period,North America
